,artist,date,song,year
1253,survivor,1982-08-14,eye of the tiger,1982
1254,survivor,1982-08-21,eye of the tiger,1982
1255,survivor,1982-08-28,eye of the tiger,1982
1256,the steve miller band,1982-09-04,abracadabra,1982
1257,chicago,1982-09-11,hard to say i'm sorry,1982
1258,chicago,1982-09-18,hard to say i'm sorry,1982
1259,the steve miller band,1982-09-25,abracadabra,1982
1260,john cougar,1982-10-02,jack & diane,1982
1261,john cougar,1982-10-09,jack & diane,1982
1262,john cougar,1982-10-16,jack & diane,1982
1263,john cougar,1982-10-23,jack & diane,1982
1264,men at work,1982-10-30,who can it be now?,1982
1265,joe cocker and jennifer warnes,1982-11-06,up where we belong,1982
1266,joe cocker and jennifer warnes,1982-11-13,up where we belong,1982
1267,joe cocker and jennifer warnes,1982-11-20,up where we belong,1982
1268,lionel richie,1982-11-27,truly,1982
1269,lionel richie,1982-12-04,truly,1982
1270,toni basil,1982-12-11,mickey,1982
1271,daryl hall  john oates,1982-12-18,maneater,1982
1272,daryl hall  john oates,1982-12-25,maneater,1982
1273,daryl hall  john oates,1983-01-01,maneater,1983
1274,daryl hall  john oates,1983-01-08,maneater,1983
1275,men at work,1983-01-15,down under,1983
1276,men at work,1983-01-22,down under,1983
1277,men at work,1983-01-29,down under,1983
1278,toto,1983-02-05,africa,1983
1279,men at work,1983-02-12,down under,1983
1280,patti austin with james ingram,1983-02-19,"baby, come to me",1983
1281,patti austin with james ingram,1983-02-26,"baby, come to me",1983
1282,michael jackson,1983-03-05,billie jean,1983
1283,michael jackson,1983-03-12,billie jean,1983
1284,michael jackson,1983-03-19,billie jean,1983
1285,michael jackson,1983-03-26,billie jean,1983
1286,michael jackson,1983-04-02,billie jean,1983
1287,michael jackson,1983-04-09,billie jean,1983
1288,michael jackson,1983-04-16,billie jean,1983
1289,dexys midnight runners,1983-04-23,come on eileen,1983
1290,michael jackson,1983-04-30,beat it,1983
1291,michael jackson,1983-05-07,beat it,1983
1292,michael jackson,1983-05-14,beat it,1983
1293,david bowie,1983-05-21,let's dance,1983
1294,irene cara,1983-05-28,flashdance...what a feeling,1983
1295,irene cara,1983-06-04,flashdance...what a feeling,1983
1296,irene cara,1983-06-11,flashdance...what a feeling,1983
